event_date,pnl,n_bets,equity,month,rule_top_tracks,rule_worst_band,equity_global
2022-07-23,38.795631545558564,64,1.2941764702902532,2022-07,"Harlow,Romford,Swindon",12-15,718.6394510330106
2022-07-24,-28.0,28,-26.705823529709747,2022-07,"Harlow,Romford,Swindon",12-15,690.6394510330106
2022-07-25,23.522086541072063,46,-3.1837369886376834,2022-07,"Harlow,Romford,Swindon",12-15,714.1615375740827
2022-07-26,6.0,16,2.8162630113623166,2022-07,"Harlow,Romford,Swindon",12-15,720.1615375740827
2022-07-27,-25.918920886,76,-23.102657874637682,2022-07,"Harlow,Romford,Swindon",12-15,694.2426166880826
2022-07-28,73.35826658495486,38,50.255608710317176,2022-07,"Harlow,Romford,Swindon",12-15,767.6008832730375
2022-07-29,48.96799468970539,72,99.22360340002257,2022-07,"Harlow,Romford,Swindon",12-15,816.5688779627429
2022-07-30,-32.0,32,67.22360340002257,2022-07,"Harlow,Romford,Swindon",12-15,784.5688779627429
2022-07-31,-12.0,42,55.22360340002257,2022-07,"Harlow,Romford,Swindon",12-15,772.5688779627429
2022-08-01,47.17368957930014,44,47.17368957930014,2022-08,"Harlow,Romford,Towcester",10-12,819.742567542043
2022-08-02,-6.645518133682785,36,40.52817144561735,2022-08,"Harlow,Romford,Towcester",10-12,813.0970494083602
2022-08-03,-6.840000000000003,40,33.68817144561735,2022-08,"Harlow,Romford,Towcester",10-12,806.2570494083602
2022-08-04,-15.0,48,18.68817144561735,2022-08,"Harlow,Romford,Towcester",10-12,791.2570494083602
2022-08-05,39.82520828432868,60,58.51337972994603,2022-08,"Harlow,Romford,Towcester",10-12,831.0822576926889
2022-08-06,-6.783429285068987,62,51.72995044487705,2022-08,"Harlow,Romford,Towcester",10-12,824.2988284076199
2022-08-07,24.491553672384473,26,76.22150411726152,2022-08,"Harlow,Romford,Towcester",10-12,848.7903820800044
2022-08-08,-17.0,44,59.22150411726152,2022-08,"Harlow,Romford,Towcester",10-12,831.7903820800044
2022-08-09,-34.0,34,25.221504117261517,2022-08,"Harlow,Romford,Towcester",10-12,797.7903820800044
2022-08-10,65.58403514954495,50,90.80553926680646,2022-08,"Harlow,Romford,Towcester",10-12,863.3744172295494
2022-08-11,-24.0,24,66.80553926680646,2022-08,"Harlow,Romford,Towcester",10-12,839.3744172295494
2022-08-12,55.145275489315395,22,121.95081475612186,2022-08,"Harlow,Romford,Towcester",10-12,894.5196927188648
2022-08-13,-20.0,20,101.95081475612186,2022-08,"Harlow,Romford,Towcester",10-12,874.5196927188648
2022-08-14,-12.0,12,89.95081475612186,2022-08,"Harlow,Romford,Towcester",10-12,862.5196927188648
2022-08-15,10.0,20,99.95081475612186,2022-08,"Harlow,Romford,Towcester",10-12,872.5196927188648
2022-08-16,35.0716777772829,46,135.02249253340477,2022-08,"Harlow,Romford,Towcester",10-12,907.5913704961476
2022-08-17,-28.0,28,107.02249253340477,2022-08,"Harlow,Romford,Towcester",10-12,879.5913704961476
2022-08-18,-16.720420072810768,50,90.302072460594,2022-08,"Harlow,Romford,Towcester",10-12,862.8709504233369
2022-08-19,39.80956539465802,38,130.111637855252,2022-08,"Harlow,Romford,Towcester",10-12,902.680515817995
2022-08-20,69.84521073822091,58,199.95684859347293,2022-08,"Harlow,Romford,Towcester",10-12,972.5257265562159
2022-08-21,-3.9703140060000024,40,195.98653458747293,2022-08,"Harlow,Romford,Towcester",10-12,968.5554125502159
2022-08-22,-14.0,42,181.98653458747293,2022-08,"Harlow,Romford,Towcester",10-12,954.5554125502159
2022-08-23,-17.59588264371268,46,164.39065194376025,2022-08,"Harlow,Romford,Towcester",10-12,936.9595299065032
2022-08-24,12.8214652913007,40,177.21211723506096,2022-08,"Harlow,Romford,Towcester",10-12,949.7809951978039
2022-08-25,-12.0,38,165.21211723506096,2022-08,"Harlow,Romford,Towcester",10-12,937.7809951978039
2022-08-26,-22.0,46,143.21211723506096,2022-08,"Harlow,Romford,Towcester",10-12,915.7809951978039
2022-08-27,-64.0,64,79.21211723506096,2022-08,"Harlow,Romford,Towcester",10-12,851.7809951978039
2022-08-28,-46.0,46,33.21211723506096,2022-08,"Harlow,Romford,Towcester",10-12,805.7809951978039
2022-08-29,103.59148219417986,38,136.80359942924082,2022-08,"Harlow,Romford,Towcester",10-12,909.3724773919838
2022-08-30,-14.518172912901793,46,122.28542651633903,2022-08,"Harlow,Romford,Towcester",10-12,894.854304479082
2022-08-31,58.8220533128502,34,181.10747982918923,2022-08,"Harlow,Romford,Towcester",10-12,953.6763577919322
2022-09-01,-26.0,26,-26.0,2022-09,"Harlow,Romford,Towcester",10-12,927.6763577919322
2022-09-02,7.0,46,-19.0,2022-09,"Harlow,Romford,Towcester",10-12,934.6763577919322
2022-09-03,-22.83073258042568,50,-41.830732580425675,2022-09,"Harlow,Romford,Towcester",10-12,911.8456252115066
2022-09-04,-36.0,36,-77.83073258042567,2022-09,"Harlow,Romford,Towcester",10-12,875.8456252115066
2022-09-05,-5.489003650000001,36,-83.31973623042568,2022-09,"Harlow,Romford,Towcester",10-12,870.3566215615066
2022-09-06,-26.0,26,-109.31973623042568,2022-09,"Harlow,Romford,Towcester",10-12,844.3566215615066
2022-09-07,2.4171984880000004,28,-106.90253774242568,2022-09,"Harlow,Romford,Towcester",10-12,846.7738200495066
2022-09-08,-14.644027388942192,40,-121.54656513136787,2022-09,"Harlow,Romford,Towcester",10-12,832.1297926605645
2022-09-11,13.0,36,-108.54656513136787,2022-09,"Harlow,Romford,Towcester",10-12,845.1297926605645
2022-09-12,-0.5263274874415984,40,-109.07289261880948,2022-09,"Harlow,Romford,Towcester",10-12,844.6034651731229
2022-09-13,-42.0,42,-151.07289261880948,2022-09,"Harlow,Romford,Towcester",10-12,802.6034651731229
2022-09-14,60.0,28,-91.07289261880948,2022-09,"Harlow,Romford,Towcester",10-12,862.6034651731229
2022-09-15,5.0,44,-86.07289261880948,2022-09,"Harlow,Romford,Towcester",10-12,867.6034651731229
2022-09-16,9.0,44,-77.07289261880948,2022-09,"Harlow,Romford,Towcester",10-12,876.6034651731229
2022-09-17,-21.390682364,82,-98.46357498280948,2022-09,"Harlow,Romford,Towcester",10-12,855.2127828091229
2022-09-18,57.53436151314367,38,-40.929213469665804,2022-09,"Harlow,Romford,Towcester",10-12,912.7471443222666
2022-09-20,-8.0,32,-48.929213469665804,2022-09,"Harlow,Romford,Towcester",10-12,904.7471443222666
2022-09-21,20.965353989182002,36,-27.9638594804838,2022-09,"Harlow,Romford,Towcester",10-12,925.7124983114486
2022-09-22,-10.224081624698034,40,-38.187941105181835,2022-09,"Harlow,Romford,Towcester",10-12,915.4884166867506
2022-09-23,21.525214323497977,38,-16.66272678168386,2022-09,"Harlow,Romford,Towcester",10-12,937.0136310102486
2022-09-24,22.13534422272749,54,5.4726174410436315,2022-09,"Harlow,Romford,Towcester",10-12,959.148975232976
2022-09-25,22.320934273173947,36,27.79355171421758,2022-09,"Harlow,Romford,Towcester",10-12,981.46990950615
2022-09-26,-44.0,44,-16.20644828578242,2022-09,"Harlow,Romford,Towcester",10-12,937.46990950615
2022-09-27,8.25422517257742,28,-7.952223113205001,2022-09,"Harlow,Romford,Towcester",10-12,945.7241346787274
2022-09-28,71.69526962665813,44,63.74304651345313,2022-09,"Harlow,Romford,Towcester",10-12,1017.4194043053856
2022-09-29,-28.0,56,35.74304651345313,2022-09,"Harlow,Romford,Towcester",10-12,989.4194043053856
2022-09-30,34.922907066,52,70.66595357945313,2022-09,"Harlow,Romford,Towcester",10-12,1024.3423113713857
2022-10-01,-37.13300269331783,66,-37.13300269331783,2022-10,"Harlow,Romford,Towcester",10-12,987.2093086780678
2022-10-02,-15.740726276584759,46,-52.87372896990259,2022-10,"Harlow,Romford,Towcester",10-12,971.4685824014831
2022-10-03,-30.0,30,-82.87372896990259,2022-10,"Harlow,Romford,Towcester",10-12,941.4685824014831
2022-10-04,-50.0,50,-132.87372896990257,2022-10,"Harlow,Romford,Towcester",10-12,891.4685824014831
2022-10-05,103.09045910229318,40,-29.78326986760939,2022-10,"Harlow,Romford,Towcester",10-12,994.5590415037763
2022-10-06,-40.0,40,-69.78326986760939,2022-10,"Harlow,Romford,Towcester",10-12,954.5590415037763
2022-10-07,8.997500692321921,30,-60.78576917528747,2022-10,"Harlow,Romford,Towcester",10-12,963.5565421960982
2022-10-08,-18.0,42,-78.78576917528747,2022-10,"Harlow,Romford,Towcester",10-12,945.5565421960982
2022-10-09,-12.0,36,-90.78576917528747,2022-10,"Harlow,Romford,Towcester",10-12,933.5565421960982
2022-10-10,35.265953304,50,-55.51981587128747,2022-10,"Harlow,Romford,Towcester",10-12,968.8224955000983
2022-10-11,-34.0,34,-89.51981587128748,2022-10,"Harlow,Romford,Towcester",10-12,934.8224955000983
2022-10-12,-14.0,38,-103.51981587128748,2022-10,"Harlow,Romford,Towcester",10-12,920.8224955000983
2022-10-13,21.42940774095856,36,-82.09040813032891,2022-10,"Harlow,Romford,Towcester",10-12,942.2519032410569
2022-10-14,-24.0,24,-106.09040813032891,2022-10,"Harlow,Romford,Towcester",10-12,918.2519032410569
2022-10-15,90.30823232556017,60,-15.782175804768741,2022-10,"Harlow,Romford,Towcester",10-12,1008.5601355666171
2022-10-16,-14.0,40,-29.78217580476874,2022-10,"Harlow,Romford,Towcester",10-12,994.5601355666171
2022-10-17,-54.0,54,-83.78217580476874,2022-10,"Harlow,Romford,Towcester",10-12,940.5601355666171
2022-10-18,13.555026779589241,40,-70.2271490251795,2022-10,"Harlow,Romford,Towcester",10-12,954.1151623462063
2022-10-19,2.0,30,-68.2271490251795,2022-10,"Harlow,Romford,Towcester",10-12,956.1151623462063
2022-10-20,12.671540072968511,56,-55.55560895221099,2022-10,"Harlow,Romford,Towcester",10-12,968.7867024191747
2022-10-21,-40.0,40,-95.55560895221099,2022-10,"Harlow,Romford,Towcester",10-12,928.7867024191747
2022-10-22,-17.347268182,70,-112.902877134211,2022-10,"Harlow,Romford,Towcester",10-12,911.4394342371747
2022-10-23,23.81068311426789,38,-89.09219401994311,2022-10,"Harlow,Romford,Towcester",10-12,935.2501173514427
2022-10-24,48.73386598550947,42,-40.35832803443364,2022-10,"Harlow,Romford,Towcester",10-12,983.9839833369522
2022-10-25,74.1460097959824,54,33.787681761548754,2022-10,"Harlow,Romford,Towcester",10-12,1058.1299931329345
2022-10-26,-11.0,40,22.787681761548754,2022-10,"Harlow,Romford,Towcester",10-12,1047.1299931329345
2022-10-27,-12.0,12,10.787681761548754,2022-10,"Harlow,Romford,Towcester",10-12,1035.1299931329345
2022-10-28,-9.414983542261183,42,1.372698219287571,2022-10,"Harlow,Romford,Towcester",10-12,1025.7150095906734
