sim,terminal_pnl,max_dd,worst_20d,ruin_200,ruin_300,ruin_500,ruin_750,ruin_1000,ruin_1500,ruin_2000
112,1019.1820188568503,-702.6613436823567,-213.97930463000003,1,1,0,0,0,0,0
113,1128.2580678509019,-629.2293184346108,-223.6667963068574,0,0,0,0,0,0,0
114,-223.05206367977942,-955.1091019324078,-245.30612481291212,1,0,0,0,0,0,0
115,327.3566557786782,-720.9439024359261,-213.97930463,1,1,1,0,0,0,0
116,-319.2596980079838,-1134.9607543130355,-213.97930463,1,1,0,0,0,0,0
117,-345.5947977991077,-944.7905729894943,-222.97585359,1,1,1,1,0,0,0
118,-1022.0043434417886,-1277.5897362737335,-230.90973585471843,1,1,1,1,1,0,0
119,-781.4825717377662,-1090.9933310736094,-223.6667963068574,1,1,1,1,0,0,0
120,1377.7550539947526,-866.8464795944698,-213.97930463000006,1,0,0,0,0,0,0
121,-2275.30464243595,-2521.3788200726717,-230.90973585471838,1,1,1,1,1,1,1
122,-13.326144836974958,-860.8972484330633,-216.84916643685744,1,1,1,0,0,0,0
