sim,terminal_pnl,max_dd,worst_20d,ruin_200,ruin_300,ruin_500,ruin_750,ruin_1000,ruin_1500,ruin_2000
254,-1816.5585635234515,-2129.612279512292,-259.62073106231134,1,1,1,1,1,1,0
255,-172.33398621328126,-1361.0103664602702,-257.0857380489746,1,1,1,1,1,0,0
256,446.1088825385365,-676.6140996516813,-246.6907389404744,1,1,0,0,0,0,0
257,-1568.2966771916167,-1661.9890490900611,-230.15061531999999,1,1,1,1,1,1,0
258,-375.8952742818942,-1715.5578203430155,-221.17139935263648,1,1,1,1,1,1,0
259,632.0814575453427,-732.7366970616832,-205.06930463000012,0,0,0,0,0,0,0
260,-1246.9917213280703,-1812.5168385485065,-242.1603414404745,1,1,1,1,1,1,0
261,1337.9724432262517,-908.6345235221024,-218.2596233314868,0,0,0,0,0,0,0
262,-376.360375919645,-1361.350471851899,-251.15213871031787,1,1,1,1,1,0,0
263,578.8239232172956,-592.6913976988869,-223.8063569608245,1,1,0,0,0,0,0
264,571.5040002339206,-528.7845129545647,-238.64766056669254,0,0,0,0,0,0,0
265,1225.57367086805,-691.0501677080081,-283.7052393130168,1,0,0,0,0,0,0
266,-73.05637441963421,-586.4486488515922,-254.48278662047437,1,1,0,0,0,0,0
267,-196.63246995080473,-1339.1234649496143,-254.48278662047437,1,1,1,1,1,0,0
268,111.06598712278,-1212.2650789048575,-257.0857380489746,0,0,0,0,0,0,0
269,518.7145407734979,-539.7087610305655,-220.18287473047442,1,1,0,0,0,0,0
270,1336.160558013528,-604.5294461116727,-221.3021572995804,1,1,0,0,0,0,0
271,-509.2252153530574,-1295.7730588396519,-267.24987166835103,1,1,1,1,1,0,0
272,-38.51127176307741,-1352.125196666691,-257.0857380489745,0,0,0,0,0,0,0
273,-4.870291935143232,-492.75106336245875,-251.15213871031787,1,1,0,0,0,0,0
274,183.48914769154982,-1142.6957331625463,-257.0857380489746,1,1,1,1,0,0,0
275,-554.1281045711319,-1023.8131684147577,-257.0857380489746,1,1,1,1,0,0,0
276,-527.558696032865,-2123.2593049088764,-242.1603414404744,1,1,1,1,1,1,0
277,-512.4795985831655,-1468.039116259385,-257.0857380489746,1,1,1,1,1,0,0
278,63.20176639191479,-872.0951571176531,-238.64766056669242,1,1,0,0,0,0,0
279,-717.6680506413034,-1406.8413618301563,-212.2179767469158,1,1,1,0,0,0,0
280,247.54440007195626,-1187.8113433356195,-247.10541997475406,1,1,1,0,0,0,0
281,-120.70823270395756,-846.6756331579769,-254.48278662047437,1,1,1,0,0,0,0
282,286.996506952473,-592.6869247895818,-240.04747717723006,1,1,0,0,0,0,0
283,-326.25037012409825,-1331.4450903610648,-231.62004624,1,1,1,1,1,0,0
284,708.0285782934111,-495.4962534245663,-259.6207310623113,0,0,0,0,0,0,0
285,1477.1386434344847,-897.4462525642601,-241.69829010047442,1,1,1,1,0,0,0
286,-1.557741987503423,-1103.9991368591586,-230.15061532000004,1,0,0,0,0,0,0
287,-106.69471296923001,-1275.1311508550657,-238.64766056669248,0,0,0,0,0,0,0
288,-375.2972721449303,-1157.9583255212817,-247.105419974754,1,1,1,1,1,0,0
289,1114.6661841219232,-1130.090637826098,-205.06930463000003,1,0,0,0,0,0,0
290,230.85791576442688,-761.721055984118,-212.04085359,1,1,0,0,0,0,0
291,-66.72181223721047,-1171.5502151558835,-229.73826093726578,1,0,0,0,0,0,0
292,614.8241573826148,-905.5977435876364,-247.105419974754,1,1,1,0,0,0,0
293,1334.0421660113973,-915.2318595130264,-213.0648262473209,0,0,0,0,0,0,0
294,-378.0024402248488,-1206.5226865019954,-251.1521387103179,1,1,1,0,0,0,0
295,-199.35889979941211,-1047.0335612239714,-253.14566760402928,1,1,1,1,0,0,0
296,-280.1003299127234,-922.4361163120423,-205.06930463000003,1,1,1,1,0,0,0
297,-198.59362707783123,-1181.725408179584,-229.7382609372658,1,1,1,0,0,0,0
298,22.75805406787424,-701.5760907747609,-241.6982901004744,1,0,0,0,0,0,0
299,149.87490292395307,-936.6060000663426,-233.22243254917126,0,0,0,0,0,0,0
300,1187.4587791084039,-703.4282171583939,-283.7052393130168,0,0,0,0,0,0,0
301,-22.6381557922915,-1443.9516510947622,-211.8629500143398,1,1,1,1,0,0,0
302,520.6968869047672,-763.531868504456,-219.38811684605477,1,0,0,0,0,0,0
303,754.0004687338683,-518.2771011956333,-229.15112481291214,0,0,0,0,0,0,0
304,-1113.925442883133,-1379.034957983665,-251.8725317665836,1,1,1,1,1,0,0
305,-500.1067925430515,-1282.4580527477872,-251.87253176658348,1,1,1,1,1,0,0
306,-2185.825190701759,-3276.931861227197,-231.62004624000008,1,1,1,1,1,1,1
307,-1396.4567674094721,-2207.2380051602477,-239.170656616912,1,1,1,1,1,1,0
308,-1686.3738715851118,-1836.6318734603155,-240.04747717723012,1,1,1,1,1,1,0
309,-246.32859302101224,-819.7719606170008,-267.2498716683509,1,1,1,0,0,0,0
310,-853.4219060422438,-1339.3800336974425,-257.0857380489746,1,1,1,1,1,0,0
311,-368.70256134440086,-1719.5598382355397,-253.65077776396382,1,1,1,1,1,1,0
312,563.6709524814611,-664.781351425665,-267.249871668351,1,1,0,0,0,0,0
313,-225.0273889496262,-1107.3013118992196,-215.48787947084276,1,1,1,1,0,0,0
