track,all_days,all_bets,all_pnl,all_max_dd,all_worst20,pre_days,pre_bets,pre_pnl,pre_max_dd,pre_worst20,post_days,post_bets,post_pnl,post_max_dd,post_worst20,survived_post,pre_positive,post_vs_pre
Mount Gambier (AUS),427.0,6423,-456.96152862843303,-686.1308871516462,-173.6071755526326,49.0,614,-47.746549298977044,-105.65796726159869,-77.56612801046431,378.0,5809,-409.214979329456,-686.1308871516461,-173.6071755526326,0,0,-361.468430030479
Launceston (AUS),307.0,4628,-369.23713500888766,-509.526762867225,-166.80416096,24.0,375,61.37992604652823,-39.725772625629915,25.991384383662776,283.0,4253,-430.61706105541595,-509.52676286722476,-166.80416096,0,1,-491.99698710194417
Perry Barr,888.0,12129,14.617115663349722,-461.17110506673095,-157.93706178999997,153.0,2296,455.79775979355827,-67.71276689122169,-36.705980888803026,735.0,9833,-441.18064413020863,-461.171105066731,-157.93706179000003,0,1,-896.9784039237669
Shepparton (AUS),524.0,9262,-530.322931729035,-670.1005903007206,-168.22740287999994,64.0,1029,-84.59604815990457,-116.92961247116341,-85.11329306885511,460.0,8233,-445.7268835691304,-651.9363827367937,-168.22740288,0,0,-361.1308354092258
Monmore,1255.0,19986,-288.33030391465593,-830.17719835,-180.48142538999997,231.0,3730,191.97649421100087,-114.92014003977457,-90.26192628995997,1024.0,16256,-480.3067981256567,-830.1771983499998,-180.48142539,0,1,-672.2832923366576
Oxford,626.0,7488,-558.8351670866654,-612.0205968566656,-130.0497957,,0,,,,626.0,7488,-558.8351670866654,-612.0205968566656,-130.0497957,0,0,-558.8351670866654
Albion Park (AUS),757.0,12522,-561.4112109262568,-849.9664695959245,-163.66025924000007,97.0,1637,45.67003891117899,-161.02958812260997,-114.7184010586302,660.0,10885,-607.0812498374357,-705.5313903501888,-163.66025924000013,0,1,-652.7512887486147
Mandurah (AUS),643.0,11153,-996.8568963493206,-1042.509613185439,-155.82611405,85.0,1565,-116.53220688706419,-171.7394653095193,-120.69715224520576,558.0,9588,-880.3246894622564,-995.9889308998361,-155.82611405,0,0,-763.7924825751923
Sunderland,921.0,13875,-579.1121610450946,-1000.5966161375203,-179.1234849635707,152.0,2509,319.31681204676704,-179.1234849635707,-179.1234849635707,769.0,11366,-898.4289730918617,-1000.5966161375206,-148.63145204727186,0,1,-1217.745785138629
Harl,748.0,10133,1136.1060404876948,-195.16825878100923,-151.72474040451925,748.0,10133,1136.1060404876948,-195.16825878100923,-151.72474040451925,,0,,,,0,1,-1136.1060404876948
